name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value
Eddie Wineland,800,0,160,0,70,0,120,153,50,1353
Mark Munoz,600,0,320,0,70,0,60,189,100,1339
Danny Castillo,500,0,400,0,140,0,100,199,0,1339
Sergei Kharitonov,800,270,0,0,70,0,50,146,0,1336
Marcin Tybura,400,90,480,75,0,0,70,145,75,1335
Francis Ngannou,900,90,80,0,0,0,20,95,150,1335
Li Jingliang,800,0,160,0,70,0,60,244,0,1334
Deiveson Figueiredo,400,270,240,75,70,0,30,66,175,1326
Nikita Krylov,400,450,160,0,0,0,70,244,0,1324
Marina Rodriguez,300,0,320,150,70,0,30,376,75,1321
Melvin Guillard,700,0,160,0,140,10,90,220,0,1320
Kevin Lee,200,360,240,0,70,0,80,218,150,1318
Jared Cannonier,600,0,240,0,70,0,60,217,125,1312
Cory Sandhagen,400,90,160,0,140,0,30,341,150,1311
Alex Oliveira,400,270,240,0,70,10,100,194,25,1309
Martin Kampmann,300,450,160,0,140,0,60,148,50,1308
Randy Brown,300,270,400,0,70,0,50,216,0,1306
Corey Anderson,300,0,560,0,0,0,50,362,25,1297
Magomed Ankalaev,600,0,320,0,70,10,10,210,75,1295
Scott Jorgensen,200,270,480,0,0,0,110,183,50,1293
Marcos Rogerio de Lima,600,180,240,0,0,0,80,182,0,1282
Jake Matthews,100,450,320,0,70,0,70,272,0,1282
Petr Yan,400,0,400,0,0,0,40,315,125,1280
Ross Pearson,400,0,400,0,140,10,130,173,25,1278
Chris Cariaso,100,90,560,0,140,0,70,290,25,1275
Antonio Silva,600,90,80,75,70,0,90,119,150,1274
Evan Tanner,400,360,160,0,0,0,60,215,75,1270
Santiago Ponzinibbio,600,0,400,0,0,0,60,160,50,1270
Merab Dvalishvili,100,0,720,0,0,0,20,403,25,1268
Henry Cejudo,400,0,320,0,140,0,40,217,150,1267
Brandon Moreno,200,270,160,75,140,0,50,165,200,1260
Marvin Vettori,0,180,560,75,0,0,50,270,125,1260
Song Yadong,500,90,240,75,70,0,30,170,75,1250
Jens Pulver,500,90,240,150,0,0,90,77,100,1247
Keith Jardine,300,90,320,75,140,0,90,207,25,1247
Kazuhiro Nakamura,200,180,640,0,0,0,90,137,0,1247
Court McGee,0,180,560,0,70,0,110,324,0,1244
Ronda Rousey,300,630,0,0,0,0,20,44,250,1244
Rousimar Palhares,0,990,160,0,0,0,40,51,0,1241
Mike Swick,600,180,240,75,0,0,60,61,25,1241
Tim Kennedy,300,360,240,0,0,0,40,198,100,1238
Iuri Alcantara,400,180,320,0,70,10,70,185,0,1235
Joanne Wood,100,90,320,0,210,0,80,433,0,1233
Matt Lindland,400,90,320,75,0,0,80,238,25,1228
Dan Ige,400,180,240,0,140,0,60,155,50,1225
Gerald Meerschaert,100,900,0,0,0,0,90,135,0,1225
Brendan Allen,100,720,240,0,0,0,20,114,25,1219
Holly Holm,200,0,400,0,70,10,60,228,250,1218
Royce Gracie,100,900,160,0,0,0,20,33,0,1213
Travis Browne,700,90,160,0,0,0,70,106,75,1201
Dennis Bermudez,100,180,400,0,140,0,70,283,25,1198
Zhang Weili,200,180,240,0,70,0,20,335,150,1195
Bryan Barberena,400,90,240,0,70,0,100,291,0,1191
Pedro Munhoz,300,270,320,0,0,20,90,163,25,1188
Sam Alvey,500,90,160,0,210,0,130,94,0,1184
Elizeu Zaleski dos Santos,300,90,320,75,140,0,30,227,0,1182
Maycee Barber,500,0,240,0,140,0,20,278,0,1178
Sarah Kaufman,100,0,400,75,0,10,40,450,100,1175
Krzysztof Jotko,100,0,560,0,210,0,60,243,0,1173
Rory MacDonald,300,90,400,0,0,0,40,267,75,1172
Andre Fili,400,0,320,0,210,10,100,129,0,1169
Jairzinho Rozenstruik,800,0,0,0,0,0,50,168,150,1168
Gray Maynard,100,0,560,0,280,10,70,70,75,1165
Rafael Natal,100,90,400,75,140,0,70,264,25,1164
Renato Sobral,0,540,240,75,0,0,60,174,75,1164
Alexandre Pantoja,200,360,240,0,140,0,30,142,50,1162
Michael Chiesa,0,540,400,0,0,0,70,96,50,1156
Yoel Romero,700,0,80,0,70,0,50,131,125,1156
Tarec Saffiedine,100,0,560,0,70,0,60,290,75,1155
Ricco Rodriguez,600,90,160,0,0,0,60,194,50,1154
Dustin Ortiz,500,90,80,0,210,0,60,211,0,1151
Joe Stevenson,200,450,240,0,0,0,110,125,25,1150
Karolina Kowalkiewicz,0,90,480,0,140,0,70,338,25,1143
Sara McMann,100,270,480,0,70,0,60,137,25,1142
Chris Gutierrez,300,0,320,0,140,0,30,327,25,1142
Roy Nelson,800,0,80,0,0,0,120,41,100,1141
Paulo Filho,100,630,160,0,70,0,10,118,50,1138
Rose Namajunas,200,270,160,0,140,0,50,114,200,1134
Dustin Jacoby,400,0,320,0,70,0,50,293,0,1133
Don Frye,600,270,0,0,70,0,50,139,0,1129
Renato Moicano,0,540,160,0,140,0,50,182,50,1122
Paul Craig,300,540,0,0,70,0,70,117,25,1122
Matt Wiman,200,270,400,0,0,0,80,170,0,1120
Takeya Mizugaki,100,0,400,0,280,0,90,224,25,1119
Phil Davis,0,270,480,0,0,10,30,302,25,1117
Chan Sung Jung,400,180,80,0,0,0,70,136,250,1116
Jamahal Hill,500,0,160,0,0,10,10,359,75,1114
Tyson Griffin,200,90,400,0,70,0,60,292,0,1112
Katlyn Cerminara,0,0,720,0,140,0,60,166,25,1111
Jonathan Martinez,400,0,480,0,0,0,30,199,0,1109
Arnold Allen,200,180,400,0,70,0,20,187,50,1107
Justin Gaethje,600,0,80,75,0,0,40,86,225,1106
Murilo Rua,400,180,160,0,0,0,100,213,50,1103
CB Dollaway,200,180,400,0,70,0,90,138,25,1103
Gian Villante,500,0,160,0,210,0,130,103,0,1103
Tim Elliott,0,180,560,0,0,0,110,222,25,1097
Jake Ellenberger,500,90,160,0,70,0,110,111,50,1091
Matt Mitrione,800,0,80,0,0,0,50,131,25,1086
Al Iaquinta,400,0,320,0,70,0,60,160,75,1085
Thiago Tavares,100,450,320,75,0,0,70,66,0,1081
James Krause,300,180,320,0,0,0,60,220,0,1080
Cody Garbrandt,600,0,240,0,0,0,50,65,125,1080
John Dodson,500,0,240,0,70,0,70,123,75,1078
Brandon Vera,500,90,240,0,0,10,70,117,50,1077
Alonzo Menifield,500,180,160,75,0,0,30,131,0,1076
Tecia Torres,0,90,560,0,0,0,60,365,0,1075
Gillian Robertson,200,630,80,0,0,0,60,99,0,1069
