name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value
Virna Jandiroba,0,180,160,0,0,0,30,16,0,386
George Sullivan,100,0,160,0,0,0,40,86,0,386
Hunter Azure,0,0,240,0,0,0,20,126,0,386
Kazuyuki Miyata,0,0,240,0,70,0,30,45,0,385
Sean Spencer,0,0,160,0,70,0,50,104,0,384
Makoto Takimoto,0,90,160,0,70,0,30,34,0,384
Kyle Daukaus,0,90,160,0,0,10,40,83,0,383
Raulian Paiva,100,0,80,75,70,0,40,18,0,383
Brad Blackburn,100,0,80,0,70,0,20,112,0,382
Johnny Eduardo,200,0,80,0,0,0,50,52,0,382
Bo Nickal,100,270,0,0,0,0,0,12,0,382
Alvin Cacdac,100,270,0,0,0,0,10,1,0,381
Ryan Jimmo,200,0,80,0,0,0,40,61,0,381
Joshua Van,100,0,80,0,70,0,0,131,0,381
Jason Brilz,100,0,160,0,0,0,40,80,0,380
Masakazu Imanari,0,180,80,0,70,0,50,0,0,380
Cody Brundage,200,90,0,0,0,0,50,40,0,380
Elias Silverio,0,90,160,0,0,0,20,109,0,379
Jacob Malkoun,0,0,240,0,0,0,30,109,0,379
JeongYeong Lee,100,90,80,0,70,0,0,39,0,379
Bobby Southworth,0,90,160,0,0,10,40,3,75,378
James Irvin,300,0,0,0,0,10,60,8,0,378
Joey Villasenor,200,0,0,0,70,0,50,7,50,377
Nicolae Negumereanu,200,0,0,0,140,0,20,17,0,377
Jeff Curran,0,180,80,0,0,0,80,12,25,377
Karine Silva,0,360,0,0,0,0,0,17,0,377
Jorge Santiago,300,0,0,0,0,0,60,17,0,377
Luke Cummo,200,0,80,0,0,0,40,56,0,376
Eric Schafer,100,180,0,0,0,0,60,36,0,376
Cory McKenna,0,90,240,0,0,0,20,24,0,374
Aoriqileng,100,0,160,0,0,10,30,73,0,373
Jordan Johnson,0,90,160,0,70,0,0,52,0,372
Mu Bae Choi,0,270,80,0,0,0,10,11,0,371
Yizha,0,180,80,0,70,0,10,30,0,370
Tomasz Drwal,200,90,0,0,0,0,30,49,0,369
Pablo Garza,100,90,80,0,0,0,40,58,0,368
Eddie Sanchez,300,0,0,0,0,0,30,38,0,368
Askar Askarov,0,0,240,0,70,0,10,47,0,367
Joe Doerksen,0,180,80,0,0,0,80,2,25,367
Clint Hester,100,0,80,0,70,0,30,86,0,366
Juan Adams,200,0,0,0,0,0,30,136,0,366
Dustin Stoltzfus,100,90,80,0,0,0,40,56,0,366
Pete Williams,100,180,0,0,0,0,50,10,25,365
Ashley Yoder,0,0,160,0,70,0,80,55,0,365
Sam Hughes,100,0,80,75,0,0,50,60,0,365
Sanae Kikuta,0,90,240,0,0,0,20,14,0,364
Ildemar Alcantara,0,90,80,0,140,0,30,24,0,364
Brian Foster,200,90,0,0,0,0,20,53,0,363
Ryan Benoit,200,0,0,0,70,0,60,33,0,363
Ronnie Lawrence,100,0,160,0,0,10,10,82,0,362
Devin Cole,100,0,160,0,0,0,20,82,0,362
Daniel Marcos,100,0,80,0,70,10,0,102,0,362
Victor Altamirano,100,0,80,0,70,0,30,81,0,361
Nam Phan,0,0,80,0,70,0,90,120,0,360
Scott Ferrozzo,100,90,80,0,0,0,20,68,0,358
Johnny Bedford,200,0,0,0,0,10,30,118,0,358
Luke Barnatt,100,90,80,0,0,0,30,58,0,358
Sarah Moras,100,90,80,0,0,0,60,28,0,358
Poliana Botelho,100,0,160,0,0,0,40,58,0,358
Valerie Letourneau,0,0,160,0,70,0,30,73,25,358
Cathal Pendred,0,90,160,0,70,0,20,17,0,357
Justin Salas,100,0,80,0,70,0,40,66,0,356
Jimy Hettes,0,180,80,0,0,0,30,65,0,355
Ruslan Magomedov,0,0,240,0,0,0,0,115,0,355
Richard Crunkilton,100,90,80,0,0,0,30,30,25,355
Pete Spratt,0,270,0,0,0,0,60,25,0,355
Dave Menne,0,0,160,0,0,0,50,95,50,355
Megan Anderson,200,90,0,0,0,0,30,10,25,355
Charles Byrd,0,270,0,0,0,0,30,54,0,354
Vanessa Demopoulos,0,90,160,0,70,0,30,4,0,354
Chad Anheliger,100,0,80,0,70,0,20,83,0,353
Tiki Ghosn,100,0,160,0,0,0,70,23,0,353
Javier Vazquez,0,180,80,0,0,0,30,62,0,352
Trevor Peek,200,0,80,0,0,0,10,62,0,352
Tagir Ulanbekov,0,180,80,0,70,0,10,11,0,351
Tim Credeur,200,90,0,0,0,0,20,40,0,350
Steven Peterson,100,0,80,0,70,0,60,40,0,350
Chase Beebe,0,0,160,0,0,0,50,64,75,349
Russell Doane,100,90,0,0,70,0,50,39,0,349
Ihor Potieria,200,0,80,0,0,0,30,39,0,349
Kimo Leopoldo,200,90,0,0,0,0,50,9,0,349
Joe Soto,0,180,80,0,0,0,50,14,25,349
Josefine Knutsson,0,0,240,0,0,0,0,108,0,348
Justine Kish,0,0,240,0,0,0,40,68,0,348
LC Davis,0,0,160,75,70,0,20,22,0,347
Alexander Yakovlev,100,90,80,0,0,0,60,17,0,347
Hugo Viana,100,0,80,0,70,0,30,66,0,346
Richard Walsh,0,0,160,0,0,0,40,145,0,345
Chad Griggs,300,0,0,0,0,0,20,24,0,344
Josh Samman,200,90,0,0,0,0,20,34,0,344
Curtis Millender,100,0,160,0,0,0,20,64,0,344
Da'Mon Blackshear,100,90,0,75,0,0,20,59,0,344
Nick Ring,0,90,160,0,0,0,30,63,0,343
Frank Camacho,100,0,0,0,70,0,60,113,0,343
Leandro Silva,0,90,160,0,0,10,40,43,0,343
Tucker Lutz,0,0,240,0,0,0,30,72,0,342
Shonie Carter,100,0,160,0,0,0,40,42,0,342
Marcus McGhee,200,90,0,0,0,0,0,52,0,342
Yan Cabral,0,180,80,0,0,0,30,51,0,341
Gilbert Yvel,200,0,0,0,0,10,110,21,0,341
Chris Horodecki,0,90,0,0,140,0,20,91,0,341
Neil Seery,0,90,160,0,0,0,40,50,0,340
Jamal Pogues,0,0,320,0,0,0,10,10,0,340
Matt Ricehouse,0,90,240,0,0,0,10,0,0,340
Fabiano Iha,100,180,0,0,0,0,50,9,0,339
Reza Madadi,100,180,0,0,0,0,40,19,0,339
Andrew Craig,100,0,80,0,70,0,40,49,0,339
Dave Beneteau,200,0,80,0,0,0,30,29,0,339
Logan Clark,200,0,80,0,0,0,10,49,0,339
Jeka Saragih,300,0,0,0,0,0,10,29,0,339
Ed Ratcliff,200,0,80,0,0,0,30,28,0,338
Shane del Rosario,100,180,0,0,0,0,20,38,0,338
Edimilson Souza,200,0,0,0,70,0,10,58,0,338
Joby Sanchez,100,0,80,0,70,0,40,46,0,336
David Onama,200,90,0,0,0,0,20,25,0,335
Mike Easton,100,0,80,75,0,0,40,40,0,335
Rodrigo Damm,0,90,80,0,70,0,60,10,25,335
Kevin Casey,0,90,80,0,70,20,40,34,0,334
Jonathan Goulet,100,90,0,75,0,0,50,19,0,334
Brad Katona,0,0,240,0,0,0,30,64,0,334
Stephanie Egger,100,180,0,0,0,0,40,14,0,334
Charles Bennett,200,90,0,0,0,0,30,14,0,334
Justin Ledet,0,90,80,0,70,0,40,54,0,334
Matt Grice,0,0,80,0,70,0,50,134,0,334
Jake Hadley,100,180,0,0,0,0,20,33,0,333
Juliana Lima,0,0,240,0,0,0,40,53,0,333
Josiane Nunes,100,0,160,0,0,0,10,63,0,333
Marcus Hicks,0,270,0,0,0,0,30,7,25,332
Yazmin Jauregui,100,0,160,0,0,0,10,62,0,332
Dong Hyun Ma,100,0,80,0,70,0,50,32,0,332
Jack Jenkins,100,0,80,0,70,0,10,72,0,332
Damacio Page,100,90,80,0,0,0,50,11,0,331
Enson Inoue,0,270,0,0,0,0,40,21,0,331
Veronica Hardy,0,90,80,0,70,0,40,50,0,330
Andre Galvao,100,90,0,0,70,0,20,49,0,329
Mike van Arsdale,100,90,80,0,0,0,20,39,0,329
Brad Scott,0,180,0,0,70,0,50,29,0,329
Rob Emerson,100,0,80,0,70,10,30,39,0,329
Nikolas Motta,200,0,80,0,0,10,20,18,0,328
Bartosz Fabinski,0,0,240,0,0,0,30,58,0,328
Laverne Clark,200,0,0,75,0,0,20,33,0,328
Nicholas Musoke,0,90,160,0,0,0,30,47,0,327
Blagoy Ivanov,0,0,240,0,0,0,50,11,25,326
Chris Duncan,100,0,80,0,70,0,20,56,0,326
Chico Camus,0,0,160,0,70,10,40,45,0,325
Jason Saggo,200,0,0,0,70,0,30,24,0,324
Julia Avila,100,90,80,0,0,0,20,33,0,323
Rich Attonito,100,0,160,0,0,0,20,43,0,323
David Dvorak,0,90,160,0,0,0,30,43,0,323
Brunno Ferreira,300,0,0,0,0,0,10,13,0,323
Mark Hall,200,90,0,0,0,0,30,2,0,322
Viscardi Andrade,100,0,160,0,0,0,10,52,0,322
Casey Olson,100,90,80,0,0,0,10,42,0,322
Blas Avena,100,180,0,0,0,0,30,10,0,320
Shane Young,100,0,80,0,0,0,50,90,0,320
Tony DeSouza,0,180,80,0,0,0,30,30,0,320
Isaac Vallie-Flagg,0,0,0,0,210,0,30,80,0,320
David Loiseau,200,0,0,0,0,0,50,44,25,319
Rei Tsuruya,100,90,80,0,0,0,0,47,0,317
Chris Brennan,0,270,0,0,0,0,40,6,0,316
Zach Makovsky,0,0,240,0,0,0,40,35,0,315
Cody McKenzie,0,180,80,0,0,0,40,15,0,315
Aleksa Camur,100,0,80,0,0,0,30,104,0,314
Lyle Beerbohm,0,180,0,0,70,0,20,44,0,314
Natan Levy,0,90,160,0,0,0,20,44,0,314
Justin Eilers,200,0,0,0,0,0,40,24,50,314
Jafel Filho,100,180,0,0,0,0,10,24,0,314
Elise Reed,0,0,160,0,70,0,40,41,0,311
Manny Bermudez,0,270,0,0,0,0,20,21,0,311
Austin Hubbard,0,0,160,0,0,0,50,100,0,310
Jai Herbert,100,0,80,75,0,0,40,15,0,310
Mick Parkin,0,90,160,0,0,0,0,59,0,309
Remco Pardoel,100,180,0,0,0,0,20,9,0,309
Tom Erikson,0,180,80,0,0,0,20,28,0,308
SeungGuk Choi,0,0,240,0,0,0,20,48,0,308
Matt Sayles,100,90,0,0,0,0,30,88,0,308
Bojan Velickovic,100,0,80,75,0,0,30,23,0,308
Rob Kimmons,0,180,80,0,0,0,40,7,0,307
Ikram Aliskerov,200,90,0,0,0,0,0,17,0,307
Claude Patrick,0,90,160,0,0,0,10,47,0,307
Jack Marshman,100,0,80,0,70,0,50,6,0,306
Benji Radach,100,0,80,0,0,10,30,86,0,306
Jared Vanderaa,100,0,80,0,0,0,60,66,0,306
Will Brooks,100,0,80,0,0,0,30,95,0,305
Herbert Burns,100,180,0,0,0,0,20,5,0,305
Roland Delorme,0,180,80,0,0,10,30,4,0,304
Mariya Agapova,0,180,0,0,0,0,40,84,0,304
Modestas Bukauskas,100,0,160,0,0,0,40,3,0,303
Piotr Hallmann,0,180,0,0,0,0,40,82,0,302
Ismail Naurdiev,0,0,160,0,0,0,20,122,0,302
Brandon Thatch,200,0,0,0,0,0,50,26,25,301
Mizuto Hirota,0,0,80,0,70,0,70,81,0,301
Wellington Turman,0,90,80,0,70,0,60,1,0,301
Maki Pitolo,200,0,0,0,0,0,50,51,0,301
Shayilan Nuerdanbieke,100,0,160,0,0,0,20,20,0,300
Fabricio Camoes,0,180,0,75,0,0,40,5,0,300
Raul Rosas Jr.,100,90,80,0,0,0,10,20,0,300
Jimmy Flick,0,270,0,0,0,0,20,10,0,300
Hannah Goldy,0,90,80,0,0,0,40,90,0,300
Paddy Holohan,0,90,160,0,0,0,20,28,0,298
William Gomis,100,0,80,0,70,0,0,48,0,298
Pascal Krauss,0,0,160,0,0,0,20,117,0,297
Alberto Mina,200,0,0,0,70,0,10,17,0,297
Kleydson Rodrigues,100,0,80,0,0,0,20,96,0,296
Carlos Hernandez,0,0,80,0,140,0,20,56,0,296
Jeremy Kennedy,0,0,240,0,0,0,10,46,0,296
Victor Henry,0,0,80,0,70,10,10,126,0,296
Evangelista Santos,100,90,0,0,0,0,60,21,25,296
Albert Duraev,0,90,80,0,70,0,20,35,0,295
Tony Fryklund,100,90,0,0,0,0,50,54,0,294
Steve Erceg,100,0,160,0,0,0,0,33,0,293
Paul Sass,0,270,0,0,0,0,20,3,0,293
Dongi Yang,200,0,0,0,0,0,30,63,0,293
Daniel Roberts,0,180,0,0,70,0,40,3,0,293
Ryan Janes,100,0,80,0,0,0,20,92,0,292
Karl Williams,0,0,240,0,0,0,0,51,0,291
Muhammad Naimov,200,0,80,0,0,0,10,1,0,291
Piera Rodriguez,0,0,240,0,0,0,10,40,0,290
Bas Rutten,200,0,0,0,70,0,0,20,0,290
Livinha Souza,0,90,80,0,70,0,30,20,0,290
Nazim Sadykhov,100,90,0,75,0,0,0,24,0,289
Ronny Markes,0,0,160,0,70,0,20,39,0,289
Maxim Grishin,100,0,80,0,0,0,30,79,0,289
Eliot Marshall,0,90,80,0,70,0,30,19,0,289
Kevin Aguilar,0,0,160,0,70,0,40,18,0,288
Viktoriia Dudakova,100,0,160,0,0,0,0,28,0,288
Gabriel Bonfim,0,270,0,0,0,0,10,8,0,288
Gina Mazany,100,0,80,0,0,0,60,47,0,287
Eric Shelton,0,0,80,0,70,0,40,97,0,287
Sergey Morozov,0,0,240,0,0,0,20,26,0,286
Anthony Figueroa,100,0,80,0,70,0,30,5,0,285
Nathan Coy,100,0,80,0,0,0,40,65,0,285
Houston Alexander,200,0,0,0,0,0,40,45,0,285
Cole Escovedo,200,0,0,0,0,0,60,0,25,285
Nick Maximov,0,0,160,0,70,0,20,35,0,285
Luana Pinheiro,100,0,80,0,70,0,10,24,0,284
Forrest Petz,0,0,160,0,0,0,50,74,0,284
Marco Beltran,0,90,80,0,70,0,30,14,0,284
Sean O'Connell,200,0,0,0,0,0,50,33,0,283
Dave Herman,200,0,0,0,0,0,40,43,0,283
Kuniyoshi Hironaka,100,0,80,0,0,0,60,43,0,283
Tyler Toner,200,0,0,0,0,0,20,62,0,282
Malcolm Gordon,100,0,80,0,0,0,50,52,0,282
Jesus Aguilar,100,90,0,0,70,0,10,12,0,282
Adam Antolin,100,90,0,0,70,0,10,11,0,281
Artem Lobov,0,0,160,0,0,0,50,45,25,280
Jaqueline Amorim,100,90,0,0,0,0,10,80,0,280
Diana Belbita,0,0,160,0,0,0,50,70,0,280
Hacran Dias,0,0,160,0,70,0,50,0,0,280
Gan McGee,200,0,0,0,0,0,40,14,25,279
Hiromitsu Miura,200,0,0,0,0,0,30,23,25,278
Dalcha Lungiambula,100,0,80,0,0,0,50,48,0,278
Elves Brener,200,0,0,0,70,0,0,8,0,278
Katsuyori Shibata,100,0,80,0,0,0,50,47,0,277
Darrick Minner,0,90,80,0,0,0,50,57,0,277
Esteban Ribovics,100,0,80,0,0,0,10,87,0,277
Takeshi Inoue,200,0,0,0,0,0,20,31,25,276
Ryan Jensen,0,180,0,0,0,0,70,26,0,276
Sedriques Dumas,0,90,160,0,0,0,10,15,0,275
Scott Askham,200,0,0,0,0,0,40,34,0,274
Estevan Payan,100,0,80,0,0,0,30,64,0,274
Antonio Arroyo,0,90,80,0,0,0,30,73,0,273
Daijiro Matsui,0,0,160,0,0,0,80,33,0,273
Timur Valiev,0,0,80,75,0,10,10,97,0,272
Oskar Piechota,100,0,80,0,0,10,30,52,0,272
Zelg Galesic,100,90,0,0,0,0,30,52,0,272
Alexander Trevino,0,180,80,0,0,0,10,0,0,270
Quinn Mulhern,0,90,80,0,70,0,30,0,0,270
Junior Assuncao,0,90,80,0,0,0,30,70,0,270
Shamil Gaziev,100,90,0,0,0,0,10,45,25,270
Carlos Felipe,0,0,80,0,140,0,20,30,0,270
Ricky Turcios,0,0,0,0,140,0,20,110,0,270
Tom Watson,100,0,80,0,0,0,50,39,0,269
Randy Costa,200,0,0,0,0,0,40,29,0,269
Nobuhiko Takada,0,180,0,0,0,0,60,4,25,269
Chris Clements,100,0,0,0,70,10,20,68,0,268
Ebenezer Fontes Braga,0,90,80,0,0,0,30,67,0,267
Johnny Munoz,0,90,80,0,0,0,40,57,0,267
Amanda Cooper,100,0,80,0,0,0,40,47,0,267
Manny Tapia,100,0,0,0,70,0,30,41,25,266
Takashi Sato,200,0,0,0,0,0,50,16,0,266
Jose Johnson,0,90,80,0,0,0,20,75,0,265
Danny Barlow,200,0,0,0,0,0,0,65,0,265
Andrews Nakahara,200,0,0,0,0,0,20,45,0,265
Mounir Lazzez,0,0,160,0,0,0,20,84,0,264
Gloria de Paula,0,0,160,0,0,0,30,74,0,264
Marvin Eastman,100,0,80,0,0,0,50,9,25,264
James Moontasri,100,90,0,0,0,0,40,33,0,263
Luis Henrique,0,180,0,0,0,0,40,42,0,262
Payton Talbott,0,90,80,0,0,0,0,92,0,262
Garrett Armfield,100,0,80,0,0,0,10,71,0,261
Luan Chagas,0,90,0,0,70,0,20,81,0,261
Steven Nguyen,100,0,80,0,0,0,10,71,0,261
John Cholish,100,90,0,0,0,0,20,50,0,260
Mohammed Usman,100,0,160,0,0,0,0,0,0,260
Karlos Vemola,100,90,0,0,0,0,40,29,0,259
Andre Fialho,200,0,0,0,0,0,50,8,0,258
ChangHo Lee,200,0,0,0,0,0,0,57,0,257
Marcio Cruz,100,90,0,0,0,0,20,47,0,257
Claudio Ribeiro,200,0,0,0,0,0,30,26,0,256
Hannah Cifers,0,0,80,0,70,0,50,56,0,256
Henrique da Silva,100,90,0,0,0,0,50,15,0,255
Arjan Bhullar,0,0,240,0,0,0,10,4,0,254
Ottman Azaitar,200,0,0,0,0,0,20,34,0,254
Jared Gooden,100,90,0,0,0,0,40,23,0,253
Ange Loosa,0,0,160,0,0,10,20,63,0,253
Mitch Clarke,0,90,80,0,0,0,50,32,0,252
Edwin Figueroa,100,0,0,0,70,0,40,42,0,252
Shana Dobson,200,0,0,0,0,0,40,12,0,252
Ismael Bonfim,100,0,80,0,0,0,10,61,0,251
Deron Winn,0,0,160,0,0,0,30,61,0,251
Dominique Steele,100,0,80,0,0,0,40,31,0,251
Tony Kelley,100,0,80,0,0,0,20,51,0,251
Keith Hackney,100,90,0,0,0,0,20,41,0,251
Benito Lopez,0,0,160,0,70,0,20,0,0,250
Kenichi Yamamoto,0,90,80,0,0,0,40,15,25,250
Bobby Stack,0,0,160,0,70,0,20,0,0,250
Rodolfo Bellato,200,0,0,0,0,0,10,40,0,250
Anthony Ruiz,100,0,0,0,0,0,40,84,25,249
Tae Hyun Bang,100,0,0,0,70,0,30,48,0,248
Chris Beal,100,0,80,0,0,0,30,38,0,248
Guangyou Ning,100,0,80,0,0,0,20,48,0,248
Mackens Semerzier,0,180,0,0,0,10,40,18,0,248
Emily Ducote,0,0,160,0,0,0,20,68,0,248
Anthony Birchak,100,0,0,0,70,0,40,38,0,248
Gabe Green,100,0,80,0,0,0,30,38,0,248
Eduarda Moura,100,90,0,0,0,0,0,58,0,248
Matthew Lopez,100,0,80,0,0,0,40,27,0,247
Atsushi Yamamoto,100,0,80,0,0,0,20,47,0,247
Preston Parsons,0,0,160,0,0,0,20,67,0,247
Aleksei Kunchenko,0,0,160,0,0,0,20,67,0,247
Bec Rawlings,0,90,80,0,0,0,50,27,0,247
Yorgan De Castro,200,0,0,0,0,0,30,16,0,246
Cyril Asker,100,90,0,0,0,0,30,26,0,246
Michael Graves,0,90,80,75,0,0,0,1,0,246
Brian Johnston,200,0,0,0,0,0,40,6,0,246
Katsuhisa Fujii,100,90,0,0,0,0,20,36,0,246
Jordan Williams,100,0,0,0,0,10,40,96,0,246
Robert Whiteford,100,0,80,0,0,0,30,36,0,246
Herschel Walker,200,0,0,0,0,0,0,46,0,246
Jess Liaudin,100,90,0,0,0,0,30,25,0,245
Luiz Azeredo,100,0,0,0,70,0,40,35,0,245
Tereza Bleda,0,0,160,0,0,0,10,75,0,245
Vinicius Oliveira,200,0,0,0,0,0,0,44,0,244
Allan Goes,0,90,80,0,0,0,30,44,0,244
Billy Goff,200,0,0,0,0,0,0,44,0,244
Nick Osipczak,100,90,0,0,0,0,30,24,0,244
Dylan Andrews,200,0,0,0,0,0,30,14,0,244
Josh Fremd,0,90,80,0,0,0,30,44,0,244
Daniel Acacio,100,0,80,0,0,0,20,44,0,244
Julija Stoliarenko,0,180,0,0,0,0,60,3,0,243
Khama Worthy,100,90,0,0,0,0,30,23,0,243
Kevin Jousset,0,90,80,0,0,0,0,72,0,242
Rafaello Oliveira,0,0,160,0,0,0,60,22,0,242
Mike Massenzio,0,90,80,0,0,0,50,22,0,242
Lauren Mueller,0,0,160,0,0,0,30,51,0,241
Che Mills,200,0,0,0,0,10,10,21,0,241
Ailin Perez,0,0,160,0,0,0,10,71,0,241
Pete Sell,0,90,80,0,0,0,50,21,0,241
Alessandro Costa,100,0,0,0,70,0,20,51,0,241
Shin Haraguchi,100,0,80,0,0,0,10,50,0,240
Jason Von Flue,0,180,0,0,0,0,40,20,0,240
Daniel Sarafian,100,90,0,0,0,0,40,10,0,240
Mikey Burnett,100,0,80,0,0,0,10,49,0,239
Lance Benoist,0,0,160,0,0,0,20,59,0,239
Andre Soukhamthath,100,0,80,0,0,0,50,8,0,238
Eric Spicely,0,180,0,0,0,0,50,8,0,238
Magomed Mustafaev,200,0,0,0,0,0,20,18,0,238
Leandro Issa,0,180,0,0,0,0,30,28,0,238
Orion Cosce,100,0,80,0,0,0,20,38,0,238
David Terrell,100,90,0,0,0,0,10,12,25,237
Hyder Amil,100,0,80,0,0,0,0,57,0,237
Micah Miller,100,90,0,0,0,0,30,17,0,237
Falaniko Vitale,200,0,0,0,0,0,30,7,0,237
Jordan Griffin,0,180,0,0,0,0,40,16,0,236
Tatsuya Mizuno,100,90,0,0,0,0,40,6,0,236
Francis Marshall,100,0,80,0,0,0,20,36,0,236
Jermaine Andre,200,0,0,0,0,0,10,0,25,235
Allan Nascimento,0,90,80,0,0,0,20,45,0,235
Aaron Rosa,0,90,0,75,0,0,30,40,0,235
AJ Dobson,0,90,80,0,0,0,20,45,0,235
Dong Sik Yoon,0,0,80,0,70,0,70,15,0,235
Andy Ologun,100,0,80,0,0,0,10,45,0,235
Noad Lahat,0,0,80,75,0,0,20,59,0,234
Christian Wellisch,0,90,80,0,0,0,30,34,0,234
Daniel Santos,100,0,80,0,0,0,10,44,0,234
Assuerio Silva,100,90,0,0,0,0,40,4,0,234
Aisling Daly,0,90,80,0,0,0,10,53,0,233
Jonathan Brookins,100,0,80,0,0,0,40,13,0,233
Mike de la Torre,100,0,0,0,70,10,40,12,0,232
Lumumba Sayers,100,90,0,0,0,0,30,12,0,232
Markus Perez,0,180,0,0,0,0,50,2,0,232
Victoria Leonardo,100,0,80,0,0,0,30,22,0,232
Andre Winner,100,0,80,0,0,0,40,12,0,232
Caio Machado,0,0,80,0,0,0,10,141,0,231
Sergey Khandozhko,100,0,80,0,0,0,10,41,0,231
Chris Barnett,200,0,0,0,0,0,20,11,0,231
Nad Narimani,0,0,160,0,0,0,20,51,0,231
Jason Black,200,0,0,0,0,0,30,0,0,230
Gadzhimurad Antigulov,0,180,0,0,0,0,40,10,0,230
Jesse Taylor,0,180,0,0,0,0,30,20,0,230
Travis Lutter,100,90,0,0,0,0,40,0,0,230
Yaotzin Meza,0,90,80,0,0,10,40,9,0,229
Chris Spang,100,0,80,0,0,0,20,29,0,229
Garreth McLellan,100,0,0,0,0,0,40,89,0,229
Xiao Long,0,0,0,75,70,0,10,74,0,229
Hector Sandoval,100,0,80,0,0,0,20,28,0,228
Laureano Staropoli,0,0,160,0,0,0,40,28,0,228
Mara Romero Borella,0,90,0,0,70,0,50,18,0,228
Jutaro Nakao,200,0,0,0,0,0,20,8,0,228
Joseph Holmes,0,180,0,0,0,0,30,18,0,228
Kevin Jackson,100,90,0,0,0,0,20,18,0,228
Luana Santos,100,0,80,0,0,0,0,48,0,228
AJ Fletcher,100,90,0,0,0,0,30,7,0,227
Justin Edwards,0,90,80,0,0,0,50,7,0,227
Chelsea Chandler,100,0,80,0,0,0,10,37,0,227
Fredy Serrano,200,0,0,0,0,0,20,7,0,227
Mark De La Rosa,0,90,0,0,70,0,50,17,0,227
Tra Telligman,0,90,80,0,0,0,50,7,0,227
Frank Gomez,0,90,80,0,0,0,20,36,0,226
Roman Zentsov,200,0,0,0,0,0,20,6,0,226
Zhang Tiequan,0,180,0,0,0,0,40,6,0,226
Yuki Kondo,100,0,0,0,0,0,80,21,25,226
Jason Witt,0,90,0,75,0,0,40,20,0,225
Saidyokub Kakhramonov,0,90,80,0,0,0,10,45,0,225
Rafael Estevam,100,0,80,0,0,0,0,45,0,225
Dokonjonosuke Mishima,0,90,0,0,70,0,40,24,0,224
Gerard Gordeau,200,0,0,0,0,0,10,14,0,224
Bruna Brasil,100,0,80,0,0,0,20,23,0,223
Jiniushiyue,100,0,80,0,0,0,10,33,0,223
Damian Stasiak,0,180,0,0,0,0,40,2,0,222
Austin Lingo,0,0,160,0,0,0,30,31,0,221
Antonio Schembri,100,90,0,0,0,0,30,1,0,221
Emily Whitmire,0,90,80,0,0,0,40,11,0,221
Justin Lawrence,100,0,80,0,0,0,20,21,0,221
Kalib Starnes,0,90,80,0,0,0,30,21,0,221
Ken Stone,0,90,0,0,70,0,30,31,0,221
Blake Bilder,0,90,80,0,0,0,20,31,0,221
John Salter,200,0,0,0,0,0,20,0,0,220
Albert Morales,0,0,0,75,70,0,40,35,0,220
Kevin Burns,100,90,0,0,0,0,30,0,0,220
Jinh Yu Frey,0,0,160,0,0,0,60,0,0,220
Jean Silva,100,0,80,0,0,0,10,30,0,220
Nate Moore,200,0,0,0,0,0,20,0,0,220
Chris Cope,100,0,80,0,0,0,20,19,0,219
Jake Rosholt,100,90,0,0,0,0,20,9,0,219
Juan Espino,0,180,0,0,0,0,10,28,0,218
Oban Elliott,0,0,80,75,0,0,0,63,0,218
Danny Henry,0,90,80,0,0,0,20,28,0,218
Rory Singer,0,90,80,0,0,0,20,27,0,217
Damien Brown,100,0,0,0,70,0,40,7,0,217
Bolaji Oki,100,0,0,0,70,0,0,47,0,217
Bea Malecki,0,90,80,0,0,0,10,37,0,217
Gesias Cavalcante,0,0,0,0,140,20,40,17,0,217
Philip De Fries,0,90,80,0,0,0,30,17,0,217
James Wilks,0,90,80,0,0,0,20,27,0,217
Kurt Holobaugh,0,90,0,0,0,10,50,67,0,217
Steve Jennum,100,90,0,0,0,0,10,16,0,216
Zhang Mingyang,200,0,0,0,0,0,0,16,0,216
Eric Esch,100,90,0,0,0,0,10,16,0,216
Johnny Rhodes,100,90,0,0,0,0,10,16,0,216
Diego Lopes,100,90,0,0,0,0,20,6,0,216
Nurullo Aliev,100,0,0,75,0,0,0,40,0,215
Anshul Jubli,100,0,0,0,70,0,10,35,0,215
Ariane Carnelossi,100,90,0,0,0,0,20,5,0,215
Rogerio Bontorin,0,90,0,0,70,10,30,14,0,214
Amar Suloev,0,0,80,0,70,0,40,23,0,213
Cristian Quinonez,100,0,80,0,0,0,20,13,0,213
Vitor Ribeiro,0,180,0,0,0,0,30,3,0,213
Rafael Alves,0,180,0,0,0,0,30,3,0,213
Jordan Rinaldi,0,90,80,0,0,0,30,12,0,212
Shannon Gugerty,0,180,0,0,0,0,30,2,0,212
Yoshiyuki Yoshida,0,180,0,0,0,0,30,2,0,212
Brian Melancon,100,0,80,0,0,0,20,11,0,211
Ivan Jorge,0,0,160,0,0,0,20,30,0,210
Marcelo Guimaraes,0,0,0,0,140,0,20,50,0,210
Nik Theotikos,200,0,0,0,0,0,10,0,0,210
David Douglas,100,90,0,0,0,0,20,0,0,210
Dustin Kimura,0,180,0,0,0,0,30,0,0,210
Michinori Tanaka,0,0,80,0,70,0,30,30,0,210
Booker DeRousse,200,0,0,0,0,0,10,0,0,210
Jesse Jones,200,0,0,0,0,0,10,0,0,210
Hiroshi Izumi,100,0,80,0,0,0,10,20,0,210
